Country,Region,Group,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service
Isle of Man ,WESTERN EUROPE                     ,Group 1,75441,572,131.9,27.97,5.36,5.93,21000,,676,9,0,91,3,11.05,11.19,0.01,0.13,0.86
Israel ,NEAR EAST                          ,Group 1,6352117,20770,305.8,1.31,0.68,7.03,19800,95.4,462.3,16.39,4.17,79.44,3,17.97,6.18,0.026,0.317,0.657
Italy ,WESTERN EUROPE                     ,Group 1,58133509,301230,193,2.52,2.07,5.94,26700,98.6,430.9,27.79,9.53,62.68,,8.72,10.4,0.021,0.291,0.688
Jamaica ,LATIN AMER. & CARIB    ,Group 1,2758124,10991,250.9,9.3,-4.92,12.36,3900,87.9,124,16.07,10.16,73.77,2,20.82,6.52,0.049,0.337,0.615
Japan ,ASIA (EX. NEAR EAST)         ,Group 1,127463611,377835,337.4,7.87,0,3.26,28200,99,461.2,12.19,0.96,86.85,3,9.37,9.16,0.017,0.258,0.725
Jersey ,WESTERN EUROPE                     ,Group 1,91084,116,785.2,60.34,2.76,5.24,24800,,811.3,0,0,100,3,9.3,9.28,0.05,0.02,0.93
Jordan ,NEAR EAST                          ,Group 1,5906760,92300,64,0.03,6.59,17.35,4300,91.3,104.5,2.67,1.83,95.5,1,21.25,2.65,0.033,0.287,0.68
Kazakhstan ,C.W. OF IND. STATES ,Group 1,15233244,2717300,5.6,0,-3.35,29.21,6300,98.4,164.1,7.98,0.05,91.97,4,16,9.42,0.067,0.386,0.547
Kenya ,SUB-SAHARAN AFRICA                 ,Group 1,34707817,582650,59.6,0.09,-0.1,61.47,1000,85.1,8.1,8.08,0.98,90.94,1.5,39.72,14.02,0.163,0.188,0.651
Kiribati ,OCEANIA                            ,Group 1,105432,811,130,140.94,0,48.52,800,,42.7,2.74,50.68,46.58,2,30.65,8.26,0.089,0.242,0.668
"Korea, North ",ASIA (EX. NEAR EAST)         ,Group 1,23113019,120540,191.8,2.07,0,24.04,1300,99,42.4,20.76,2.49,76.75,3,15.54,7.13,0.3,0.34,0.36
"Korea, South ",ASIA (EX. NEAR EAST)         ,Group 1,48846823,98480,496,2.45,0,7.05,17800,97.9,486.1,17.18,1.95,80.87,3,10,5.85,0.033,0.403,0.563
Kuwait ,NEAR EAST                          ,Group 1,2418393,17820,135.7,2.8,14.18,9.95,19000,83.5,211,0.73,0.11,99.16,1,21.94,2.41,0.004,0.479,0.516
Kyrgyzstan ,C.W. OF IND. STATES ,Group 1,5213898,198500,26.3,0,-2.45,35.64,1600,97,84,7.3,0.35,92.35,2.5,22.8,7.08,0.353,0.208,0.439
Laos ,ASIA (EX. NEAR EAST)         ,Group 1,6368481,236800,26.9,0,0,85.22,1700,66.4,14.1,3.8,0.35,95.85,2,35.49,11.55,0.455,0.287,0.258
Latvia ,BALTICS                            ,Group 1,2274735,64589,35.2,0.82,-2.23,9.55,10200,99.8,321.4,29.67,0.47,69.86,3,9.24,13.66,0.04,0.261,0.699
Lebanon ,NEAR EAST                          ,Group 1,3874050,10400,372.5,2.16,0,24.52,4800,87.4,255.6,16.62,13.98,69.4,,18.52,6.21,0.12,0.21,0.67
Lesotho ,SUB-SAHARAN AFRICA                 ,Group 2,2022331,30355,66.6,0,-0.74,84.23,3000,84.8,23.7,10.87,0.13,89,3,24.75,28.71,0.163,0.443,0.394
Liberia ,SUB-SAHARAN AFRICA                 ,Group 2,3042004,111370,27.3,0.52,0,128.87,1000,57.5,2.3,3.95,2.28,93.77,2,44.77,23.1,0.769,0.054,0.177
Libya ,NORTHERN AFRICA                    ,Group 2,5900754,1759540,3.4,0.1,0,24.6,6400,82.6,127.1,1.03,0.19,98.78,,26.49,3.48,0.076,0.499,0.425
Liechtenstein ,WESTERN EUROPE                     ,Group 2,33987,160,212.4,0,4.85,4.7,25000,100,585.5,25,0,75,4,10.21,7.18,0.06,0.39,0.55
Lithuania ,BALTICS                            ,Group 2,3585906,65200,55,0.14,-0.71,6.89,11400,99.6,223.4,45.22,0.91,53.87,,8.75,10.98,0.055,0.325,0.62
Luxembourg ,WESTERN EUROPE                     ,Group 2,474413,2586,183.5,0,8.97,4.81,55100,100,515.4,23.28,0.4,76.32,,11.94,8.41,0.01,0.13,0.86
Macau ,ASIA (EX. NEAR EAST)         ,Group 2,453125,28,16183,146.43,4.86,4.39,19400,94.5,384.9,0,0,100,2,8.48,4.47,0.001,0.072,0.927
Macedonia ,EASTERN EUROPE                     ,Group 2,2050554,25333,80.9,0,-1.45,10.09,6700,,260,22.26,1.81,75.93,3,12.02,8.77,0.118,0.319,0.563
Madagascar ,SUB-SAHARAN AFRICA                 ,Group 2,18595469,587040,31.7,0.82,0,76.83,800,68.9,3.6,5.07,1.03,93.91,2,41.41,11.11,0.276,0.165,0.559
Malawi ,SUB-SAHARAN AFRICA                 ,Group 2,13013926,118480,109.8,0,0,103.32,600,62.7,7.9,23.38,1.49,75.13,2,43.13,19.33,0.342,0.158,0.499
Malaysia ,ASIA (EX. NEAR EAST)         ,Group 2,24385858,329750,74,1.42,0,17.7,9000,88.7,179,5.48,17.61,76.91,2,22.86,5.05,0.084,0.48,0.436
Maldives ,ASIA (EX. NEAR EAST)         ,Group 2,359008,300,1196.7,214.67,0,56.52,3900,97.2,90,13.33,16.67,70,2,34.81,7.06,0.2,0.18,0.62
Mali ,SUB-SAHARAN AFRICA                 ,Group 2,11716829,1240000,9.5,0,-0.33,116.79,900,46.4,6.4,3.82,0.03,96.15,2,49.82,16.89,0.45,0.17,0.38
Malta ,WESTERN EUROPE                     ,Group 2,400214,316,1266.5,62.28,2.07,3.89,17700,92.8,505,28.13,3.13,68.74,,10.22,8.1,0.03,0.23,0.74
Marshall Islands ,OCEANIA                            ,Group 2,60422,11854,5.1,3.12,-6.04,29.45,1600,93.7,91.2,16.67,38.89,44.44,2,33.05,4.78,0.317,0.149,0.534
Martinique ,LATIN AMER. & CARIB    ,Group 2,436131,1100,396.5,31.82,-0.05,7.09,14400,97.7,394.4,10.38,9.43,80.19,2,13.74,6.48,0.06,0.11,0.83
Mauritania ,SUB-SAHARAN AFRICA                 ,Group 2,3177388,1030700,3.1,0.07,0,70.89,1800,41.7,12.9,0.48,0.01,99.51,1,40.99,12.16,0.25,0.29,0.46
Mauritius ,SUB-SAHARAN AFRICA                 ,Group 2,1240827,2040,608.3,8.68,-0.9,15.03,11400,85.6,289.3,49.26,2.96,47.78,2,15.43,6.86,0.059,0.298,0.643
Mayotte ,SUB-SAHARAN AFRICA                 ,Group 2,201234,374,538.1,49.52,6.78,62.4,2600,,49.7,,,,2,40.95,7.7,,,
Mexico ,LATIN AMER. & CARIB    ,Group 2,107449525,1972550,54.5,0.47,-4.87,20.91,9000,92.2,181.6,12.99,1.31,85.7,1.5,20.69,4.74,0.038,0.259,0.702
Micronesia. Fed. St. ,OCEANIA                            ,Group 2,108004,702,153.9,870.66,-20.99,30.21,2000,89,114.8,5.71,45.71,48.58,2,24.68,4.75,0.289,0.152,0.559
Moldova ,C.W. OF IND. STATES ,Group 2,4466706,33843,132,0,-0.26,40.42,1800,99.1,208.1,55.3,10.79,33.91,,15.7,12.64,0.213,0.233,0.555
Monaco ,WESTERN EUROPE                     ,Group 2,32543,2,16271.5,205,7.75,5.43,27000,99,1035.6,0,0,100,,9.19,12.91,0.17,,
Mongolia ,ASIA (EX. NEAR EAST)         ,Group 2,2832224,1564116,1.8,0,0,53.79,1800,97.8,55.1,0.77,0,99.23,1,21.59,6.95,0.206,0.214,0.58
Montserrat ,LATIN AMER. & CARIB    ,Group 2,9439,102,92.5,39.22,0,7.35,3400,97,,20,0,80,2,17.59,7.1,,,
Morocco ,NORTHERN AFRICA                    ,Group 2,33241259,446550,74.4,0.41,-0.98,41.62,4000,51.7,40.4,19.61,2.17,78.22,,21.98,5.58,0.217,0.357,0.426
Mozambique ,SUB-SAHARAN AFRICA                 ,Group 2,19686505,801590,24.6,0.31,0,130.79,1200,47.8,3.5,5.1,0.3,94.6,2,35.18,21.35,0.262,0.348,0.39
Namibia ,SUB-SAHARAN AFRICA                 ,Group 2,2044147,825418,2.5,0.19,0,48.98,7200,84,62.6,0.99,0,99.01,1,24.32,18.86,0.097,0.315,0.588
Nauru ,OCEANIA                            ,Group 2,13287,21,632.7,142.86,0,9.95,5000,,143,0,0,100,2,24.76,6.7,,,
Nepal ,ASIA (EX. NEAR EAST)         ,Group 2,28287147,147181,192.2,0,0,66.98,1400,45.2,15.9,21.68,0.64,77.68,,30.98,9.31,0.38,0.21,0.41
Netherlands ,WESTERN EUROPE                     ,Group 2,16491461,41526,397.1,1.09,2.91,5.04,28600,99,460.8,26.71,0.97,72.32,3,10.9,8.68,0.021,0.244,0.736
Netherlands Antilles ,LATIN AMER. & CARIB    ,Group 2,221736,960,231,37.92,-0.41,10.03,11400,96.7,365.3,10,0,90,2,14.78,6.45,0.01,0.15,0.84
New Caledonia ,OCEANIA                            ,Group 2,219246,19060,11.5,11.83,0,7.72,15000,91,252.2,0.38,0.33,99.29,2,18.11,5.69,0.15,0.088,0.762
New Zealand ,OCEANIA                            ,Group 2,4076140,268680,15.2,5.63,4.05,5.85,21600,99,441.7,5.6,6.99,87.41,3,13.76,7.53,0.043,0.273,0.684
Nicaragua ,LATIN AMER. & CARIB    ,Group 2,5570129,129494,43,0.7,-1.22,29.11,2300,67.5,39.7,15.94,1.94,82.12,2,24.51,4.45,0.165,0.275,0.56
Niger ,SUB-SAHARAN AFRICA                 ,Group 2,12525094,1267000,9.9,0,-0.67,121.69,800,17.6,1.9,3.54,0.01,96.45,1,50.73,20.91,0.39,0.17,0.44
Nigeria ,SUB-SAHARAN AFRICA                 ,Group 2,131859731,923768,142.7,0.09,0.26,98.8,900,68,9.3,31.29,2.96,65.75,1.5,40.43,16.94,0.269,0.487,0.244
N. Mariana Islands ,OCEANIA                            ,Group 2,82459,477,172.9,310.69,9.61,7.11,12500,97,254.7,13.04,4.35,82.61,2,19.43,2.29,,,
Norway ,WESTERN EUROPE                     ,Group 2,4610820,323802,14.2,7.77,1.74,3.7,37800,100,461.7,2.87,0,97.13,3,11.46,9.4,0.021,0.415,0.564
Oman ,NEAR EAST                          ,Group 2,3102229,212460,14.6,0.98,0.28,19.51,13100,75.8,85.5,0,0.14,99.74,1,36.24,3.81,0.027,0.39,0.583
Pakistan ,ASIA (EX. NEAR EAST)         ,Group 2,165803560,803940,206.2,0.13,-2.77,72.44,2100,45.7,31.8,27.87,0.87,71.26,1,29.74,8.23,0.216,0.251,0.533
Palau ,OCEANIA                            ,Group 2,20579,458,44.9,331.66,2.85,14.84,9000,92,325.6,8.7,4.35,86.95,2,18.03,6.8,0.062,0.12,0.818
Panama ,LATIN AMER. & CARIB    ,Group 2,3191319,78200,40.8,3.18,-0.91,20.47,6300,92.6,137.9,7.36,1.98,90.66,2,21.74,5.36,0.068,0.156,0.776
Papua New Guinea ,OCEANIA                            ,Group 2,5670544,462840,12.3,1.11,0,51.45,2200,64.6,10.9,0.46,1.44,98.1,2,29.36,7.25,0.353,0.381,0.266
Paraguay ,LATIN AMER. & CARIB    ,Group 2,6506464,406750,16,0,-0.08,25.63,4700,94,49.2,7.6,0.23,92.17,2,29.1,4.49,0.224,0.207,0.569
Peru ,LATIN AMER. & CARIB    ,Group 2,28302603,1285220,22,0.19,-1.05,31.94,5100,90.9,79.5,2.89,0.4,96.71,1.5,20.48,6.23,0.08,0.27,0.65
Philippines ,ASIA (EX. NEAR EAST)         ,Group 2,89468677,300000,298.2,12.1,-1.5,23.51,4600,92.6,38.4,18.95,16.77,64.28,2,24.89,5.41,0.144,0.326,0.53
Poland ,EASTERN EUROPE                     ,Group 2,38536869,312685,123.3,0.16,-0.49,8.51,11100,99.8,306.3,45.91,1.12,52.97,3,9.85,9.89,0.05,0.311,0.64
Portugal ,WESTERN EUROPE                     ,Group 2,10605870,92391,114.8,1.94,3.57,5.05,18000,93.3,399.2,21.75,7.81,70.44,3,10.72,10.5,0.053,0.274,0.673
