,rest_name,rest_addr,city,phone,cuisine_type
0,arnie morton  s of chicago,435 s. la cienega blv .,los angeles,3102461501,america
1,art  s delicatessen,12224 ventura blvd.,studio city,8187621221,merican
2,campanile,624 s. la brea ave.,los angeles,2139381447,amurican
3,fenix,8358 sunset blvd. west,hollywood,2138486677,americen
4,grill on the alley,9560 dayton way,los angeles,3102760615,americann
5,restaurant katsu,1972 n. hillhurst ave.,los angeles,2136651891,asiane
6,locanda veneta,3rd st.,los angeles,3102741893,itali
7,matsuhisa,129 n. la cienega blvd.,beverly hills,3106599639,asiann
8,the palm,9001 santa monica blvd.,los angeles,3105508811,americann
9,philippe  s the original,1001 n. alameda st.,los angeles,2136283781,murican
10,rex il ristorante,617 s. olive st.,los angeles,2136272300,italien
11,valentino,3115 pico blvd.,santa monica,3108294313,italian
12,yujean kang' s gourmet chinese cuisine,67 n. raymond ave.,los angeles,8185850855,asiat
13,21 club,21 w. 52nd st.,new york,2125827200,american
14,aureole,34 e. 61st st.,new york,2123191660,americano
16,carmine  s,2450 broadway ,new york,2123622200,italiann
17,chanterelle,2 harrison st.,new york,2129666960,ameerican
18,dawat,210 e. 58th st.,new york,2123557555,asianne
19,felidia,243 e. 58th st.,new york,2127581479,italiano
20,four seasons grill room,99 e. 52nd st.,new york,2127549494,americin
21,gotham bar & grill,12 e. 12th st.,new york,2126204020,ammericann
22,gramercy tavern,42 e. 20th,new york,2124770777,americann
23,jo jo,160 e. 64th st.,new york,2122235656,amerycan
24,lespinasse,2 e. 55th st.,new york,2123396719,aamerican
25,march,405 e. 58th st.,new york,2127546272,italian
26,mesa grill,102 5th ave.,new york,2128077400,americann
28,park avenue cafe,,new york,2126441900,ameerican
29,river cafe,1 water st,brooklyn,7185225200,ameriican
30,san domenico,240 central park s,new york,2122655959,italiaan
31,seryna,11 e. 53rd st.,new york,2129809393,asiian
32,shun lee west,43 w. 65th st.,new york,2123718844,asiaan
33,sign of the dove,1110 3rd ave. at 65th st.,new york,2128618080,amerrican
34,smith & wollensky,201 e. 49th st.,new york,2127531530,ameerrican
35,avern on the green,in central park at 67th st.,new york,2128733200,ammereican
36,union square cafe,21 e. 16th st.,new york,2122434020,american
37,virgil  s,152 w. 44th st.,new york,2129219494,american
38,chin  s,3200 las vegas blvd. s,las vegas,7027338899,asian
41,abruzzi,2355 peachtree rd. . peachtree battle shoppin...,atlanta,4042618186,italian
42,bone  s,3130 piedmont road,atlanta,4042372663,american
43,buckhead diner,3073 piedmont road,atlanta,4042623336,american
44,steak house,2880 las vegas blvd. s,las vegas,7027340410,american
45,abruzzi,2355 peachtree rd.,atlanta,4042618186,american
46,bone's,3130 piedmont road,atlanta,4042372663,asian
47,buckhead diner,3073 piedmont road,atlanta,4042623336,italian
49,delectables,2290 peachtree rd.,atlanta,4046812909,italian
50,georgia grille,595 piedmont ave,atlanta,4043523517,american
51,heera of india,2637 peachtree rd,atlanta,4048764408,american
52,la grotta,peachtree house condomin...,atlanta,4042311368,american
53,mary mac's tea room,224 ponce de leon ave.,atlanta,4048761800,asian
54,veni vidi vici,41 14th st.,atlanta,4048758424,asian
55,boulevard,1 mission st.,san francisco,4155436084,american
56,campton place,340 stockton st.,san francisco,4159555555,american
57,hawthorne lane,22 hawthorne st.,san francisco,4157779779,italiaan
58,khan toke thai house,5937 geary blvd.,san francisco,4156686654,italian
59,intetsu building,1737 post st.,san francisco,4159220337,italianne
60,postrio,545 post st.,san francisco,4157767825,italiian
61,ritz-carlton restaurant and dining room,600 stockton st.,san francisco,4152967465,american
63,rose pistola,532 columbus ave.,san francisco,4153990499,american
64,il nido,251 e. 53rd st.,new york,2127538450,italian
65,remi,145 w. 53rd st.,new york,2125814242,italian
66,adriano's ristorante,2930 beverly glen circle,los angeles,3104759807,american
67,barney greengrass,9570 wilshire blvd.,beverly hills,3107775877,asian
68,border grill,4th st.,los angeles,3104511655,italiaan
69,broadway deli,3rd st. promenade,santa monica,3104510616,american
71,ca   brea,346 s. la brea ave.,los angeles,2139382863,american
72,ca   del sol,4100 cahuenga blvd.,los angeles,8189854669,american
73,canter's,419 n. fairfax ave.,los angeles,2136512030,american
74,chan dara,310 n. larchmont blvd.,los angeles,2134671052,italian
75,drago,2628 wilshire blvd.,santa monica,3108281585,itallian
76,ed debevic's,134 n. la cienega,los angeles,3106591952,asian
77,el cholo,1121 s. western ave.,los angeles,2137342773,asian
78,gilliland's,2424 main st.,santa monica,3103923901,italian
79,gladstone's 4 fish,17300 pacific coast hwy . at sunset bl...,pacific palisades,3104543474,asian
80,hard rock cafe,8600 beverly blvd.,los angeles,3102767605,american
81,harry's bar & american grill,2020 ave. of the stars,los angeles,3102772333,american
82,il fornaio cucina italiana,301 n. beverly dr.,los angeles,3105508330,american
83,joss,9255 sunset blvd.,los angeles,3102761886,american
85,le colonial,8783 beverly blvd.,los angeles,3102890660,american
86,louise's trattoria,4500 los feliz blvd.,los angeles,2136670777,american
87,monkee seafood restaurant,679 n. spring st.,los angeles,2136286717,italian
88,morton's,8764 melrose ave.,los angeles,3102765205,italian
89,nate   n   al's,414 n. beverly dr.,los angeles,3102740101,american
90,nicola,601 s. figueroa st.,los angeles,2134850927,italian
91,ocean avenue,1401 ocean ave.,santa monica,3103945669,asian
92,orleans,11705 national blvd.,los angeles,3104794187,american
93,pacific dining car,6th st.,los angeles,2134836000,american
94,paty's,10001 riverside dr.,toluca lake,8187619126,italian
95,posto,14928 ventura blvd.,sherman oaks,8187844400,asian
96,prego,362 n. camden dr.,los angeles,3102777346,asian
97,rj's the rib joint,252 n. beverly dr.,los angeles,3102747427,italian
98,remi,3rd st. promenade,santa monica,3103936545,asian
99,restaurant horikawa,111 s. san pedro st.,los angeles,2136809355,american
100,roscoe's house of chicken   n   waffles,1514 n. gower st.,los angeles,2134669329,american
101,swingers,8020 beverly blvd.,los angeles,2136535858,asian
102,tavola calda,7371 melrose ave.,los angeles,2136586340,american
103,the mandarin,430 n. camden dr.,los angeles,3108590926,american
105,tommy tang's,7313 melrose ave.,los angeles,2139375733,american
106,tra di noi,3835 cross creek rd.,los angeles,3104560169,american
107,trader vic's,9876 wilshire blvd.,los angeles,3102766345,american
108,vida,1930 north hillhurst ave.,los feliz,2136604446,italian
109,west beach cafe,60 n. venice blvd.,los angeles,3108235396,american
110,20 mott,20 mott st. between bowery and pell st.,new york,2129640380,italian
111,9 jones street,9 jones st.,new york,2129891220,asian
112,aja,937 broadway at 22nd st.,new york,2124738388,italian
113,alamo,304 e. 48th st.,new york,2127590590,american
115,alley's end,311 w. 17th st.,new york,2126278899,american
116,ambassador grill,1 united nations plaza at 44th st.,new york,2127025014,asian
117,american place,2 park ave. at 32nd st.,new york,2126842122,american
118,anche vivolo,222 e. 58th st. between 2nd and 3rd aves .,new york,2123080112,italian
119,arizona,206 206 e. 60th st.,new york,2128380440,american
120,arturo's,106 w. houston st. off thompson st.,new york,2126773820,american
128,au mandarin,200-250 vesey st. world financial center,new york,2123850313,italian
129,barbetta,321 w. 46th st.,new york,2122469171,asian
130,ben benson's,123 w. 52nd st.,new york,2125818888,asian
131,big cup,228 8th ave. between 21st and 22nd sts .,new york,2122060059,american
132,billy's,948 1st ave. between 52nd and 53rd sts .,new york,2127531870,italian
136,boonthai,1393a 2nd ave. between 72nd and 73rd sts .,new york,2122498484,italian
138,brothers bar-b-q,225 varick st. at clarkston st.,new york,2127272775,italian
139,bruno,240 e. 58th st.,new york,2126884190,american
141,bryant park grill roof restaurant and bp cafe,25 w. 40th st. between 5th and 6th aves .,new york,2128406500,american
142,c3,103 waverly pl . near washington sq.,new york,2122541200,asian
143,cafe bianco,1486 2nd ave. between 77th and 78th sts .,new york,2129882655,american
144,cafe la fortuna,69 w. 71st st.,new york,2127245846,asian
145,caffe dante,81 macdougal st. between houston and bleeker s...,new york,2129825275,italian
146,caffe dell   artista,46 greenwich ave.,new york,2126454431,american
147,caffe reggio,119 macdougal st. between 3rd and bleecker st...,new york,2124759557,american
148,caffe roma,385 broome st. at mulberry,new york,2122268413,italian
149,caffe vivaldi,32 jones st. at bleecker st.,new york,2126917538,american
150,caffe bondi ristorante,7 w. 20th st.,new york,2126918136,american
152,cendrillon asian grill & marimba bar,45 mercer st. between broome and grand sts .,new york,2123439012,american
153,chiam,160 e. 48th st.,new york,2123712323,italian
154,china grill,60 w. 53rd st.,new york,2123337788,american
156,coco pazzo,23 e. 74th st.,new york,2127940205,italian
157,columbus bakery,53rd sts .,new york,2124210334,asian
159,corrado cafe,1013 3rd ave. between 60th and 61st sts .,new york,2127535100,american
160,cupcake cafe,522 9th ave. at 39th st.,new york,2124651530,italian
161,da nico,164 mulberry st. between grand and broome sts .,new york,2123431212,american
162,dean & deluca,121 prince st.,new york,2122548776,asian
163,diva,341 w. broadway near grand st.,new york,2129419024,italian
164,duane park cafe,157 duane st. between w. broadway and hudson ...,new york,2127325555,american
165,el teddy's,219 w. broadway between franklin and white st...,new york,2129417070,american
166,em ily's,1325 5th ave. at 111th st.,new york,2129961212,american
167,em pire korea,6 e. 32nd st.,new york,2127251333,american
168,ernie's,2150 broadway between 75th and 76th sts .,new york,2124961588,american
169,evergreen cafe,1288 1st ave. at 69th st.,new york,2127443266,italian
170,f. ille ponte ristorante,39 desbrosses st. near west st.,new york,2122264621,italian
171,fifty seven fifty seven,57 e. 57th st.,new york,2127585757,asian
173,film center cafe,635 9th ave. between 44th and 45th sts .,new york,2122622525,asian
174,fiorello's roman cafe,1900 broadway between 63rd and 64th sts .,new york,2125955330,asian
175,firehouse,522 columbus ave. between 85th and 86th sts .,new york,2125953139,american
176,first,87 1st ave. between 5th and 6th sts .,new york,2126743823,american
177,fleur de jour,348 e. 62nd st.,new york,2123552020,italian
178,flowers,21 west 17th st. between 5th and 6th aves .,new york,2126918888,italian
179,follonico,6 w. 24th st.,new york,2126916359,asian
181,fraunces tavern,54 pearl st. at broad st.,new york,2122690144,italian
182,french roast cafe,2340 broadway at 85th st.,new york,2127991533,american
183,frico bar,402 w. 43rd st. off 9th ave.,new york,2125647272,american
184,fujiyama mama,467 columbus ave. between 82nd and 83rd sts .,new york,2127691144,american
185,gabriela's,685 amsterdam ave. at 93rd st.,new york,2129610574,american
186,gallagher's,228 w. 52nd st,new york,2122455336,american
187,girafe,208 e. 58th st. between 2nd and 3rd aves .,new york,2127523054,italian
188,global,33 93 2nd ave. between 5th and 6th sts .,new york,2124778427,american
189,golden unicorn,18 e. broadway at catherine st.,new york,2129410911,asian
191,grand ticino,228 thompson st. between w. 3rd and bleecker ...,new york,2127775922,american
192,halcyon,151 w. 54th st. in the rihga royal hotel,new york,2124688888,american
193,hard rock cafe,221 w. 57th st.,new york,2124896565,asian
195,hi-life restaurant and lounge,1340 1st ave. at 72nd st.,new york,2122493600,american
196,home,20 cornelia st. between bleecker and w. 4th st.,new york,2122439579,asian
197,hudson river club,4 world financial center,new york,2127861500,american
198,i trulli,122 e. 27th st. between lexington and park av...,new york,2124817372,american
199,il cortile,125 mulberry st. between canal and hester sts .,new york,2122266060,asian
200,indochine,430 lafayette st. between 4th st. and astor p...,new york,2125055111,asian
202,internet cafe,82 e. 3rd st. between 1st and 2nd aves .,new york,2126140747,american
203,jewel of india,15 w. 44th st.,new york,2128695544,italian
204,jimmy sung's,219 e. 44th st. between 2nd and 3rd aves .,new york,2126825678,italian
205,joe allen,326 w. 46th st.,new york,2125816464,asian
206,judson grill,152 w. 52nd st.,new york,2125825252,asian
207,lanza restaurant,168 1st ave. between 10th and 11th sts .,new york,2126747014,italian
208,lattanzi ristorante,361 w. 46th st.,new york,2123150980,italian
209,le colonial,149 e. 57th st.,new york,2127520808,american
210,le gamin,50 macdougal st. between houston and prince st...,new york,2122544678,asian
211,le madri,168 w. 18th st.,new york,2127278022,american
212,le marais,150 w. 46th st.,new york,2128690900,american
213,le select,507 columbus ave. between 84th and 85th sts .,new york,2128751993,american
214,lincoln tavern,51 w. 64th st.,new york,2127218271,asian
215,lola,30 west 22nd st. between 5th and 6th ave.,new york,2126756700,asian
217,main street,446 columbus ave. between 81st and 82nd sts .,new york,2128735025,american
218,mangia e bevi,800 9th ave. at 53rd st.,new york,2129563976,italian
219,manhattan cafe,1161 1st ave. between 63rd and 64th sts .,new york,2128886556,italian
220,manila garden,325 e. 14th st. between 1st and 2nd aves .,new york,2127776314,italian
222,marquet patisserie,15 e. 12th st. between 5th ave. and university...,new york,2122299313,american
223,match,160 mercer st. between houston and prince sts .,new york,2129069173,american
224,matthew's,1030 3rd ave. at 61st st.,new york,2128384343,american
225,mavalli palace,46 e. 29th st.,new york,2126795535,american
226,milan cafe and coffee bar,120 w. 23rd st.,new york,2128071801,asian
227,monkey bar,60 e. 54th st.,new york,2128382600,italian
228,montien,1134 1st ave. between 62nd and 63rd sts .,new york,2124214433,american
229,morton's,551 5th ave. at 45th st.,new york,2129723315,asian
231,motown cafe,104 w. 57th st. near 6th ave.,new york,2125818030,asian
232,new york kom tang soot bul house,32 w. 32nd st.,new york,2129478482,american
234,new york noodletown,28 1/2 bowery at bayard st.,new york,2123490923,american
235,newsbar,2 w. 19th st.,new york,2122553996,italian
236,odeon,145 w. broadway at thomas st.,new york,2122330507,italian
237,orso,322 w. 46th st.,new york,2124897212,american
239,osteria al droge,142 w. 44th st.,new york,2129443643,asian
240,otabe,68 e. 56th st.,new york,2122237575,american
242,pacifica,138 lafayette st. between canal and howard st...,new york,2129414168,american
243,palio,151 w. 51st . st.,new york,2122454850,american
244,parioli romanissimo,24 e. 81st st.,new york,2122882391,american
245,pen & pencil,205 e. 45th st.,new york,2126828660,american
246,penang soho,109 spring st. between greene and mercer sts .,new york,2122748883,american
247,planet hollywood,140 w. 57th st.,new york,2123337827,american
248,popover cafe,551 amsterdam ave. between 86th and 87th sts .,new york,2125958555,asian
249,post house,28 e. 63rd st.,new york,2129352888,american
250,rain,100 w. 82nd st.,new york,2125010776,american
251,republic,37a union sq. w between 16th and 17th sts .,new york,2126277172,italian
252,rosa mexicano,1063 1st ave. at 58th st.,new york,2127537407,american
253,ruth's chris,148 w. 51st st.,new york,2122459600,italian
257,s.p.q.r,133 mulberry st. between hester and grand sts .,new york,2129253120,asian
258,sal anthony's,55 irving pl,new york,2129829030,asian
259,san pietro,18 e. 54th st.,new york,2127990400,italian
260,sant ambroeus,1000 madison ave. between 77th and 78th sts .,new york,2126747264,asian
262,sarabeth's kitchen,423 amsterdam ave. between 80th and 81st sts .,new york,2122605454,italian
263,serendipity,3 225 e. 60th st.,new york,2127210068,american
264,seventh regiment mess and bar,643 park ave. at 66th st.,new york,2124869592,italian
265,sfuzzi,58 w. 65th st.,new york,2126833333,american
266,shaan,57 w. 48th st.,new york,2122466363,asian
267,sofia fabulous pizza,1022 madison ave. near 79th st.,new york,2129666722,asian
270,spring street natural restaurant & bar,62 spring st. at lafayette st.,atlanta,4042649546,american
272,sweet   n   tart cafe,76 mott st. at canal st.,atlanta,4042627379,italian
273,t salon,143 mercer st. at prince st.,atlanta,4042623165,asian
274,tang pavillion,65 w. 55th st.,atlanta,4042332333,italian
275,tapika,950 8th ave. at 56th st.,atlanta,7704410291,italian
276,the coffee pot,350 9th ave. at 49th st.,atlanta,4048727203,american
277,the savannah club,2420 broadway at 89th st.,atlanta,4048745642,american
278,trattoria dell   arte,900 7th ave. between 56th and 57th sts .,atlanta,4048752489,italian
279,triangolo,345 e. 83rd st.,atlanta,4042557277,american
280,tribeca grill,375 greenwich st. near franklin st.,atlanta,4046592788,asian
282,trois jean,154 e. 79th st. between lexington and 3rd ave...,atlanta,4048410314,asian
283,tse yang,34 e. 51st st.,atlanta,7703959925,asian
285,two two two,222 w. 79th st.,atlanta,7704510192,asian
286,veniero's pasticceria,342 e. 11th st. near 1st ave.,atlanta,4042371313,italian
289,verbena,54 irving pl . at 17th st.,atlanta,7703931333,american
290,vince & eddie's,70 w. 68th st.,atlanta,4048743223,italian
291,vong,200 e. 54th st.,atlanta,4042372941,asian
292,water club,500 e. 30th st.,atlanta,4048757775,american
293,west,63rd street steakhouse 44 w. 63rd st.,atlanta,4043255285,italian
294,zoe,90 prince st. between broadway and mercer st.,atlanta,7704490033,italian
295,annie's thai castle,3195 roswell rd.,atlanta,4048737358,italian
296,anthonys,3109 piedmont rd. . just south of peachtree rd.,atlanta,7704587145,american
297,atlanta fish market,265 pharr rd.,atlanta,4043211118,american
298,bertolini's,3500 peachtree rd. . phipps plaza,atlanta,4048745535,american
299,cafe renaissance,7050 jimmy carter blvd. . norcross,las vegas,7022527737,asian
300,camille's,1186 n. highland ave.,las vegas,7028713262,american
301,colonnade restaurant,1879 cheshire bridge rd.,las vegas,7027321424,asian
303,french quarter food shop,923 peachtree st. at 8th st.,las vegas,7027354663,american
304,horseradish grill,4320 powers ferry rd.,las vegas,7024327777,asian
305,hsu's gourmet,192 peachtree center ave. at international bl...,las vegas,7027358686,asian
306,kamogawa,3300 peachtree rd. . grand hyatt,las vegas,7027315311,italian
307,la grotta at ravinia dunwoody rd.,holiday inn/crowne plaza at ravinia dunwoody,las vegas,7023862512,italian
309,little szechuan,c buford hwy . northwoods plaza doraville,atlanta,7704510192,asian
310,mckinnon's louisiane,3209 maple dr.,atlanta,4042371313,italian
311,mi spia dunwoody rd.,park place across from perimeter mall dunwoody,atlanta,7703931333,asian
312,pleasant peasant,555 peachtree st. at linden ave.,atlanta,4048743223,italian
313,pricci,500 pharr rd.,atlanta,4042372941,asian
314,r.j.'s uptown kitchen & wine bar,870 n. highland ave.,atlanta,4048757775,american
315,sa tsu ki,3043 buford hwy .,atlanta,4043255285,asian
316,sato sushi and thai,6050 peachtree pkwy . norcross,atlanta,7704490033,asian
317,south city kitchen,1144 crescent ave.,atlanta,4048737358,american
318,stringer's fish camp and oyster bar,3384 shallowford rd. . chamblee,atlanta,7704587145,italian
319,sundown cafe,2165 cheshire bridge rd.,atlanta,4043211118,italian
320,taste of new orleans,889 w. peachtree st.,atlanta,4048745535,italian
321,antonio's,3700 w. flamingo,las vegas,7022527737,american
322,bamboo garden,4850 flamingo rd.,las vegas,7028713262,american
323,battista's hole in the wall,4041 audrie st. at flamingo rd.,las vegas,7027321424,american
324,bertolini's,3570 las vegas blvd. s,las vegas,7027354663,asian
325,broiler,4111 boulder hwy .,las vegas,7024327777,italian
326,cafe michelle,1350 e. flamingo rd.,las vegas,7027358686,american
327,capozzoli's,3333 s. maryland pkwy .,las vegas,7027315311,american
328,center stage plaza hotel,1 main st.,las vegas,7023862512,asian
329,em press court,3570 las vegas blvd. s,las vegas,7027317888,asian
330,golden steer,308 w. sahara ave.,las vegas,7023844470,asian
331,lillie langtry's,129 e. fremont st.,las vegas,7023857111,italian
332,mandarin court,1510 e. flamingo rd.,las vegas,7027371234,italian
333,margarita's mexican cantina,3120 las vegas blvd. s,las vegas,7027948200,american
334,mikado,3400 las vegas blvd. s,las vegas,7027917111,asian
335,venetian,3713 w. sahara ave.,las vegas,7028764190,asianne
